Rides Dates
327625 2009-01-01
376708 2009-01-02
432710 2009-01-03
367525 2009-01-04
370901 2009-01-05
427394 2009-01-06
371043 2009-01-07
477502 2009-01-08
520846 2009-01-09
483350 2009-01-10
405075 2009-01-11
414642 2009-01-12
442543 2009-01-13
489177 2009-01-14
486450 2009-01-15
535200 2009-01-16
511023 2009-01-17
419962 2009-01-18
352534 2009-01-19
433639 2009-01-20
478268 2009-01-21
498241 2009-01-22
519394 2009-01-23
547591 2009-01-24
460723 2009-01-25
434081 2009-01-26
471788 2009-01-27
455187 2009-01-28
503352 2009-01-29
538365 2009-01-30
539574 2009-01-31
 
429758 2009-02-01
403372 2009-02-02
452356 2009-02-03
356567 2009-02-04
535477 2009-02-05
546688 2009-02-06
513313 2009-02-07
425839 2009-02-08
406198 2009-02-09
445672 2009-02-10
463213 2009-02-11
510174 2009-02-12
549188 2009-02-13
539684 2009-02-14
451649 2009-02-15
391436 2009-02-16
450460 2009-02-17
487630 2009-02-18
507718 2009-02-19
561972 2009-02-20
522269 2009-02-21
445271 2009-02-22
455091 2009-02-23
487119 2009-02-24
487081 2009-02-25
500984 2009-02-26
526500 2009-02-27
527443 2009-02-28
 
431713 2009-03-01
327874 2009-03-02
472839 2009-03-03
488197 2009-03-04
427688 2009-03-05
527054 2009-03-06
491087 2009-03-07
409911 2009-03-08
406846 2009-03-09
475324 2009-03-10
484218 2009-03-11
529308 2009-03-12
552598 2009-03-13
515382 2009-03-14
418081 2009-03-15
376433 2009-03-16
461084 2009-03-17
450035 2009-03-18
496540 2009-03-19
520598 2009-03-20
501495 2009-03-21
418165 2009-03-22
419795 2009-03-23
454554 2009-03-24
470114 2009-03-25
515311 2009-03-26
514616 2009-03-27
513575 2009-03-28
428889 2009-03-29
427313 2009-03-30
460734 2009-03-31
 
387363 2009-04-01
496103 2009-04-02
539873 2009-04-03
534600 2009-04-04
441196 2009-04-05
446038 2009-04-06
490453 2009-04-07
486193 2009-04-08
476452 2009-04-09
475873 2009-04-10
487794 2009-04-11
406220 2009-04-12
415069 2009-04-13
482164 2009-04-14
493538 2009-04-15
520593 2009-04-16
528685 2009-04-17
521590 2009-04-18
438845 2009-04-19
478774 2009-04-20
467425 2009-04-21
499859 2009-04-22
519185 2009-04-23
526612 2009-04-24
513397 2009-04-25
445439 2009-04-26
295156 2009-04-27
470611 2009-04-28
492792 2009-04-29
516891 2009-04-30
 
536561 2009-05-01
510175 2009-05-02
460670 2009-05-03
462212 2009-05-04
517761 2009-05-05
517448 2009-05-06
523584 2009-05-07
526916 2009-05-08
501340 2009-05-09
422874 2009-05-10
435149 2009-05-11
472472 2009-05-12
502828 2009-05-13
532276 2009-05-14
534863 2009-05-15
526549 2009-05-16
456758 2009-05-17
467644 2009-05-18
493114 2009-05-19
504060 2009-05-20
517297 2009-05-21
495935 2009-05-22
403710 2009-05-23
349228 2009-05-24
264652 2009-05-25
444461 2009-05-26
479870 2009-05-27
519001 2009-05-28
523947 2009-05-29
483608 2009-05-30
409350 2009-05-31
 
363700 2009-06-01
471230 2009-06-02
505927 2009-06-03
521528 2009-06-04
551777 2009-06-05
461816 2009-06-06
419990 2009-06-07
384249 2009-06-08
481738 2009-06-09
509970 2009-06-10
527386 2009-06-11
530227 2009-06-12
485592 2009-06-13
398991 2009-06-14
435323 2009-06-15
476872 2009-06-16
506129 2009-06-17
534044 2009-06-18
520706 2009-06-19
490010 2009-06-20
403789 2009-06-21
417818 2009-06-22
471939 2009-06-23
497137 2009-06-24
516361 2009-06-25
522070 2009-06-26
472617 2009-06-27
413174 2009-06-28
431104 2009-06-29
461035 2009-06-30
 
397418 2009-07-01
459217 2009-07-02
361917 2009-07-03
302128 2009-07-04
295276 2009-07-05
359351 2009-07-06
418571 2009-07-07
450549 2009-07-08
487036 2009-07-09
481219 2009-07-10
442918 2009-07-11
378248 2009-07-12
397304 2009-07-13
452898 2009-07-14
485261 2009-07-15
499082 2009-07-16
516428 2009-07-17
438883 2009-07-18
391429 2009-07-19
410911 2009-07-20
477807 2009-07-21
486132 2009-07-22
502592 2009-07-23
489946 2009-07-24
449643 2009-07-25
410245 2009-07-26
421588 2009-07-27
469610 2009-07-28
489150 2009-07-29
505321 2009-07-30
498025 2009-07-31
 
438823 2009-08-01
394197 2009-08-02
417427 2009-08-03
465754 2009-08-04
487787 2009-08-05
492732 2009-08-06
485827 2009-08-07
418264 2009-08-08
365236 2009-08-09
417641 2009-08-10
457720 2009-08-11
465546 2009-08-12
492965 2009-08-13
492042 2009-08-14
443105 2009-08-15
401117 2009-08-16
419795 2009-08-17
464610 2009-08-18
471242 2009-08-19
498510 2009-08-20
486161 2009-08-21
420738 2009-08-22
374497 2009-08-23
382999 2009-08-24
426678 2009-08-25
462314 2009-08-26
466090 2009-08-27
491592 2009-08-28
424371 2009-08-29
381672 2009-08-30
379068 2009-08-31
 
415946 2009-09-01
439318 2009-09-02
457529 2009-09-03
448732 2009-09-04
393872 2009-09-05
347952 2009-09-06
314305 2009-09-07
431868 2009-09-08
488771 2009-09-09
530388 2009-09-10
549753 2009-09-11
519468 2009-09-12
459030 2009-09-13
463118 2009-09-14
500932 2009-09-15
521234 2009-09-16
535162 2009-09-17
532709 2009-09-18
492744 2009-09-19
413176 2009-09-20
432885 2009-09-21
453612 2009-09-22
470106 2009-09-23
494359 2009-09-24
534164 2009-09-25
535047 2009-09-26
452024 2009-09-27
393072 2009-09-28
459106 2009-09-29
504505 2009-09-30
 
523009 2009-10-01
547031 2009-10-02
522853 2009-10-03
436158 2009-10-04
439893 2009-10-05
476496 2009-10-06
502680 2009-10-07
526548 2009-10-08
545705 2009-10-09
541761 2009-10-10
463646 2009-10-11
412750 2009-10-12
481219 2009-10-13
510052 2009-10-14
533333 2009-10-15
550645 2009-10-16
541136 2009-10-17
472394 2009-10-18
452765 2009-10-19
473346 2009-10-20
503957 2009-10-21
527704 2009-10-22
560164 2009-10-23
541727 2009-10-24
447544 2009-10-25
448371 2009-10-26
489586 2009-10-27
512175 2009-10-28
523549 2009-10-29
553500 2009-10-30
542854 2009-10-31
 
482402 2009-11-01
453816 2009-11-02
473233 2009-11-03
503664 2009-11-04
541229 2009-11-05
545020 2009-11-06
540723 2009-11-07
447257 2009-11-08
437656 2009-11-09
476906 2009-11-10
485349 2009-11-11
533748 2009-11-12
552893 2009-11-13
541479 2009-11-14
440872 2009-11-15
441757 2009-11-16
476922 2009-11-17
504612 2009-11-18
531206 2009-11-19
553471 2009-11-20
538366 2009-11-21
451511 2009-11-22
445075 2009-11-23
474969 2009-11-24
470537 2009-11-25
309751 2009-11-26
354945 2009-11-27
423285 2009-11-28
392146 2009-11-29
450539 2009-11-30
 
486874 2009-12-01
504100 2009-12-02
533216 2009-12-03
561295 2009-12-04
576771 2009-12-05
454212 2009-12-06
468013 2009-12-07
504885 2009-12-08
518683 2009-12-09
557444 2009-12-10
596882 2009-12-11
563707 2009-12-12
485447 2009-12-13
467920 2009-12-14
508401 2009-12-15
546710 2009-12-16
566530 2009-12-17
581923 2009-12-18
488811 2009-12-19
312230 2009-12-20
425440 2009-12-21
455090 2009-12-22
456094 2009-12-23
382635 2009-12-24
233221 2009-12-25
320616 2009-12-26
312947 2009-12-27
375455 2009-12-28
447016 2009-12-29
429635 2009-12-30
461201 2009-12-31
 
401856 2010-01-01
410622 2010-01-02
389569 2010-01-03
399321 2010-01-04
445264 2010-01-05
469031 2010-01-06
492712 2010-01-07
531514 2010-01-08
531631 2010-01-09
445633 2010-01-10
448008 2010-01-11
493653 2010-01-12
502507 2010-01-13
507953 2010-01-14
523563 2010-01-15
491605 2010-01-16
476224 2010-01-17
361559 2010-01-18
448269 2010-01-19
486585 2010-01-20
513279 2010-01-21
546611 2010-01-22
542821 2010-01-23
448901 2010-01-24
424596 2010-01-25
469316 2010-01-26
495576 2010-01-27
530114 2010-01-28
587602 2010-01-29
578675 2010-01-30
469208 2010-01-31

201916 2010-02-01
220006 2010-02-02
224521 2010-02-03
235707 2010-02-04
243352 2010-02-05
234441 2010-02-06
210153 2010-02-07
419895 2010-02-08
453579 2010-02-09
258603 2010-02-10
455701 2010-02-11
512750 2010-02-12
535211 2010-02-13
488688 2010-02-14
411343 2010-02-15
455410 2010-02-16
484534 2010-02-17
500656 2010-02-18
525498 2010-02-19
510832 2010-02-20
435752 2010-02-21
426640 2010-02-22
497569 2010-02-23
482422 2010-02-24
456224 2010-02-25
345427 2010-02-26
485285 2010-02-27
433294 2010-02-28

198371 2010-03-01
216609 2010-03-02
232270 2010-03-03
235837 2010-03-04
250230 2010-03-05
243687 2010-03-06
208791 2010-03-07
424772 2010-03-08
452754 2010-03-09
475303 2010-03-10
508406 2010-03-11
534341 2010-03-12
559794 2010-03-13
406596 2010-03-14
435158 2010-03-15
456307 2010-03-16
472238 2010-03-17
514325 2010-03-18
512296 2010-03-19
508270 2010-03-20
437847 2010-03-21
428910 2010-03-22
443601 2010-03-23
454212 2010-03-24
481555 2010-03-25
526238 2010-03-26
510637 2010-03-27
437911 2010-03-28
408268 2010-03-29
457378 2010-03-30
451450 2010-03-31

510659 2010-04-01
515360 2010-04-02
495758 2010-04-03
404242 2010-04-04
420822 2010-04-05
473454 2010-04-06
509071 2010-04-07
531731 2010-04-08
567817 2010-04-09
542110 2010-04-10
449570 2010-04-11
441135 2010-04-12
492310 2010-04-13
503936 2010-04-14
537625 2010-04-15
576664 2010-04-16
539234 2010-04-17
461085 2010-04-18
451630 2010-04-19
495674 2010-04-20
518621 2010-04-21
529447 2010-04-22
551788 2010-04-23
533578 2010-04-24
484002 2010-04-25
487847 2010-04-26
507853 2010-04-27
526081 2010-04-28
533131 2010-04-29
552755 2010-04-30

544422 2010-05-01
461661 2010-05-02
468707 2010-05-03
496771 2010-05-04
528082 2010-05-05
552370 2010-05-06
545691 2010-05-07
543307 2010-05-08
468081 2010-05-09
474256 2010-05-10
512233 2010-05-11
541377 2010-05-12
536206 2010-05-13
570623 2010-05-14
550161 2010-05-15
473295 2010-05-16
482229 2010-05-17
526103 2010-05-18
523461 2010-05-19
539039 2010-05-20
561154 2010-05-21
532922 2010-05-22
445304 2010-05-23
467651 2010-05-24
503947 2010-05-25
525366 2010-05-26
531817 2010-05-27
499459 2010-05-28
409711 2010-05-29
355716 2010-05-30
310229 2010-05-31

433681 2010-06-01
474038 2010-06-02
506735 2010-06-03
516573 2010-06-04
497157 2010-06-05
447969 2010-06-06
465654 2010-06-07
504854 2010-06-08
532750 2010-06-09
527746 2010-06-10
540940 2010-06-11
508356 2010-06-12
410888 2010-06-13
452676 2010-06-14
494131 2010-06-15
516317 2010-06-16
532605 2010-06-17
540185 2010-06-18
494356 2010-06-19
431055 2010-06-20
457086 2010-06-21
501250 2010-06-22
524328 2010-06-23
546239 2010-06-24
541371 2010-06-25
515068 2010-06-26
442750 2010-06-27
476576 2010-06-28
496467 2010-06-29
495327 2010-06-30

493201 2010-07-01
446040 2010-07-02
351487 2010-07-03
303313 2010-07-04
316785 2010-07-05
455568 2010-07-06
492915 2010-07-07
507550 2010-07-08
508297 2010-07-09
463176 2010-07-10
439969 2010-07-11
459276 2010-07-12
522877 2010-07-13
548511 2010-07-14
555926 2010-07-15
571536 2010-07-16
522006 2010-07-17
431035 2010-07-18
434331 2010-07-19
465401 2010-07-20
488716 2010-07-21
495318 2010-07-22
506913 2010-07-23
476456 2010-07-24
425807 2010-07-25
478563 2010-07-26
485574 2010-07-27
495848 2010-07-28
525544 2010-07-29
518741 2010-07-30
469839 2010-07-31

393123 2010-08-01
213012 2010-08-02
237940 2010-08-03
253133 2010-08-04
374682 2010-08-05
443277 2010-08-06
431579 2010-08-07
380533 2010-08-08
399063 2010-08-09
439757 2010-08-10
460682 2010-08-11
468309 2010-08-12
464743 2010-08-13
422275 2010-08-14
